filename,language,blob_count,blob_rects,full_path
photo_654@09-07-2019_17-14-13.jpg,English,0,[],Static/Meme/English/photo_654@09-07-2019_17-14-13.jpg
100t.png,English,1,"[(0, 0, 535, 437)]",Static/Meme/English/100t.png
1063.png,English,1,"[(6, 522, 293, 256)]",Static/Meme/English/1063.png
1067t.png,English,1,"[(0, 0, 512, 720)]",Static/Meme/English/1067t.png
1075t.png,English,1,"[(82, 2, 98, 98)]",Static/Meme/English/1075t.png
1099t.png,English,1,"[(152, 37, 147, 172)]",Static/Meme/English/1099t.png
1134t.png,English,1,"[(108, 63, 143, 225)]",Static/Meme/English/1134t.png
1174.png,English,1,"[(627, 194, 125, 223)]",Static/Meme/English/1174.png
118.png,English,1,"[(198, 376, 228, 249)]",Static/Meme/English/118.png
1192t.png,English,1,"[(151, 60, 148, 146)]",Static/Meme/English/1192t.png
1216t.png,English,1,"[(184, 241, 112, 111)]",Static/Meme/English/1216t.png
122.png,English,1,"[(598, 414, 149, 150)]",Static/Meme/English/122.png
1265.png,English,1,"[(227, 352, 231, 159)]",Static/Meme/English/1265.png
1273t.png,English,1,"[(0, 0, 600, 541)]",Static/Meme/English/1273t.png
149t.png,English,1,"[(133, 371, 337, 337)]",Static/Meme/English/149t.png
1612t.png,English,1,"[(224, 39, 351, 431)]",Static/Meme/English/1612t.png
1687t.png,English,1,"[(445, 75, 126, 141)]",Static/Meme/English/1687t.png
1719.png,English,1,"[(71, 47, 219, 396)]",Static/Meme/English/1719.png
1839t.png,English,1,"[(0, 0, 832, 832)]",Static/Meme/English/1839t.png
1846t.png,English,1,"[(0, 0, 832, 832)]",Static/Meme/English/1846t.png
1854t.png,English,1,"[(260, 31, 247, 244)]",Static/Meme/English/1854t.png
1855t.png,English,1,"[(556, 75, 282, 189)]",Static/Meme/English/1855t.png
1856.png,English,1,"[(446, 71, 348, 309)]",Static/Meme/English/1856.png
1940t.png,English,1,"[(18, 342, 231, 139)]",Static/Meme/English/1940t.png
2477t.png,English,1,"[(18, 309, 182, 113)]",Static/Meme/English/2477t.png
2511.png,English,1,"[(138, 148, 249, 277)]",Static/Meme/English/2511.png
2612.png,English,1,"[(229, 84, 185, 176)]",Static/Meme/English/2612.png
2983.png,English,1,"[(34, 69, 521, 457)]",Static/Meme/English/2983.png
3055.png,English,1,"[(0, 197, 231, 276)]",Static/Meme/English/3055.png
310t.png,English,1,"[(0, 0, 403, 403)]",Static/Meme/English/310t.png
328t.png,English,1,"[(142, 37, 251, 369)]",Static/Meme/English/328t.png
346.png,English,1,"[(366, 354, 58, 54)]",Static/Meme/English/346.png
370t.png,English,1,"[(0, 0, 403, 403)]",Static/Meme/English/370t.png
427t.png,English,1,"[(522, 170, 415, 204)]",Static/Meme/English/427t.png
506t.png,English,1,"[(436, 332, 272, 242)]",Static/Meme/English/506t.png
526t.png,English,1,"[(278, 94, 134, 142)]",Static/Meme/English/526t.png
662t.png,English,1,"[(320, 100, 215, 170)]",Static/Meme/English/662t.png
666t.png,English,1,"[(215, 17, 200, 193)]",Static/Meme/English/666t.png
699t.png,English,1,"[(221, 0, 360, 287)]",Static/Meme/English/699t.png
784.png,English,1,"[(324, 176, 248, 261)]",Static/Meme/English/784.png
828t.png,English,1,"[(0, 129, 405, 362)]",Static/Meme/English/828t.png
845t.png,English,1,"[(0, 0, 763, 623)]",Static/Meme/English/845t.png
853t.png,English,1,"[(195, 158, 139, 132)]",Static/Meme/English/853t.png
960t.png,English,1,"[(156, 0, 477, 383)]",Static/Meme/English/960t.png
980.png,English,1,"[(127, 44, 68, 66)]",Static/Meme/English/980.png
984t.png,English,1,"[(287, 110, 95, 102)]",Static/Meme/English/984t.png
997t.png,English,1,"[(175, 90, 271, 94)]",Static/Meme/English/997t.png
-57b7bfe2727d1-design.jpg,English,1,"[(26, 141, 566, 389)]",Static/Meme/English/-57b7bfe2727d1-design.jpg
100-layers-of-clickbait-57b76ca8376f3-design.jpg,English,1,"[(8, 35, 456, 255)]",Static/Meme/English/100-layers-of-clickbait-57b76ca8376f3-design.jpg
100-years-57b7bdd1aeedf-design.jpg,English,1,"[(278, 128, 256, 409)]",Static/Meme/English/100-years-57b7bdd1aeedf-design.jpg
1st-place-stupid-mf-64b2a6538e7b8-design.jpg,English,1,"[(48, 196, 670, 468)]",Static/Meme/English/1st-place-stupid-mf-64b2a6538e7b8-design.jpg
20-dollar-bill-57bad0659f259-design.jpg,English,1,"[(210, 89, 218, 274)]",Static/Meme/English/20-dollar-bill-57bad0659f259-design.jpg
3-inch-mark-591653eb17b2e-design.jpg,English,1,"[(0, 238, 960, 671)]",Static/Meme/English/3-inch-mark-591653eb17b2e-design.jpg
3-incorrect-password-attempts-5872b8a59efc8-design.jpg,English,1,"[(0, 0, 500, 491)]",Static/Meme/English/3-incorrect-password-attempts-5872b8a59efc8-design.jpg
45th-president-5886c0ea9b164-design.jpg,English,1,"[(138, 226, 650, 545)]",Static/Meme/English/45th-president-5886c0ea9b164-design.jpg
a-beautiful-picture-585dbba4d0740-design.jpg,English,1,"[(0, 0, 640, 320)]",Static/Meme/English/a-beautiful-picture-585dbba4d0740-design.jpg
a-better-way-to-spend-your-money-59ca32373bef5-design.jpg,English,1,"[(242, 145, 204, 221)]",Static/Meme/English/a-better-way-to-spend-your-money-59ca32373bef5-design.jpg
a-human-581a111b8ccf7-design.jpg,English,1,"[(398, 46, 146, 332)]",Static/Meme/English/a-human-581a111b8ccf7-design.jpg
a-meme-bo-59497962cc80c-design.jpg,English,1,"[(34, 318, 462, 406)]",Static/Meme/English/a-meme-bo-59497962cc80c-design.jpg
a-new-foe-has-appeared-57b26de68900b-design.jpg,English,1,"[(453, 168, 167, 118)]",Static/Meme/English/a-new-foe-has-appeared-57b26de68900b-design.jpg
a-special-pose-582d8e68a8106-design.jpg,English,1,"[(73, 68, 771, 470)]",Static/Meme/English/a-special-pose-582d8e68a8106-design.jpg
add-me-on-kik-57cb543d8b4c3-design.jpg,English,1,"[(140, 110, 172, 159)]",Static/Meme/English/add-me-on-kik-57cb543d8b4c3-design.jpg
aku-looking-through-the-crack-591b897a3a735-design.jpg,English,1,"[(308, 160, 160, 234)]",Static/Meme/English/aku-looking-through-the-crack-591b897a3a735-design.jpg
all-races-human-being-57e18d8d1acc8-design.jpg,English,1,"[(28, 231, 640, 436)]",Static/Meme/English/all-races-human-being-57e18d8d1acc8-design.jpg
allah-5902994b388b9-design.jpg,English,1,"[(36, 23, 158, 155)]",Static/Meme/English/allah-5902994b388b9-design.jpg
